,question,sql
4015,What is the lowest goals for value with fewer than 5 draws and under 70 points?,SELECT MIN Goals For FROM table WHERE Draw < 5 AND Points < 70
4016,What is the total number of  John Merrick as a runner up?,SELECT COUNT No. FROM table WHERE Runner(s)-up = John Merrick
4017,What is the highest average points per race of the driver with less than 969 points and an average pre-2010 less than 0?,SELECT MAX Average points per race entered FROM table WHERE Points < 969 AND Average pre-2010 < 0
4018,What is the lowest goals against value for a team with 83 points and a difference over 50?,SELECT MIN Goals Against FROM table WHERE Points = 83 AND Goal difference > 50
4019,How many numbers have sp of 20/1 and a finishing position of fence 19?,SELECT COUNT Number FROM table WHERE SP = 20/1 AND Finishing position = Fence 19
4020,What is the highest numbered pick from round 7?,SELECT MAX Pick FROM table WHERE Round = 7
4021,What is the earliest season that has a position over 12?,SELECT MIN Season FROM table WHERE Position > 12
4022,How many nationalities does Tom Colley have?,SELECT COUNT Nationality FROM table WHERE Player = Tom Colley
4023,Name the most points with lost more than 1 and games less than 5,SELECT MAX Points FROM table WHERE Lost > 1 AND Games < 5
4024,What is the value of the lowest Week with a Record of 2–9?,SELECT MIN Week FROM table WHERE Record = 2–9
4025,What's the number of positions of the player playing in Minnesota North Stars?,SELECT COUNT Position FROM table WHERE NHL team = Minnesota North Stars
4026,Name the most population for seychelles and rank less than 13,SELECT MAX Population FROM table WHERE Country/territory/entity = seychelles AND Rank < 13
4027,"For Raison Blue with a nicotine larger than 0.30000000000000004, what's the lowest quantity?",SELECT MIN Quantity FROM table WHERE Name = raison blue AND Nicotine > 0.30000000000000004
4028,"When  sault ste. marie greyhounds (oha) is the  college, junior, or club team how many nationalities are there?",SELECT COUNT Nationality FROM table WHERE College/junior/club team = Sault Ste. Marie Greyhounds (OHA)
4029,Which Laps is the highest one that has a Time/Retired of +3.370 secs?,SELECT MAX Laps FROM table WHERE Time/Retired = +3.370 secs
4030,What was the earliest year with rank 20 and less than 60 floors?,SELECT MIN Year FROM table WHERE Rank = 20 AND Floors < 60
4031,How many positions for denis patry?,SELECT COUNT Position FROM table WHERE Player = Denis Patry
4032,"When Baltimore County, Howard are represented, what's the first elected when the committee is environmental matters (vice-chair)?","SELECT MAX First Elected FROM table WHERE Counties Represented = baltimore county, howard AND Committee = environmental matters (vice-chair)"
4033,"Which Grid is the lowest one that has a Team of germany, and Laps smaller than 45?",SELECT MIN Grid FROM table WHERE Team = germany AND Laps < 45
4034,how many times was total considered when hancock # was 1394,SELECT COUNT Total FROM table WHERE Hancock # = 1394
4035,"Attendance of 48,510 had what highest week?","SELECT MAX Week FROM table WHERE Attendance = 48,510"
4036,What is the leowest number of Bronze medals for Jamaica who ranked less than 4 and had more than 0 silver medals and a total of less than 22 medals?,SELECT MIN Bronze FROM table WHERE Silver > 0 AND Rank < 4 AND Nation = jamaica AND Total < 22
4037,how many times was hancock % considered when starky % was 20.96%,SELECT COUNT Hancock % FROM table WHERE Starky % = 20.96%
4038,What is the most current year with a previous conference of Mid-Indiana in Converse?,SELECT MAX Year joined FROM table WHERE Previous conference = mid-indiana AND Location = converse
4039,"Total of 38.55, and a 3 Balls, 2 Ribbons smaller than 19.4 had what lowest place?","SELECT MIN Place FROM table WHERE Total = 38.55 AND 3 Balls, 2 Ribbons < 19.4"
4040,How many times was country considered when starky % was 20.96%,SELECT COUNT County FROM table WHERE Starky % = 20.96%
4041,What is the highest number of successful launches associated with over 1 launch and under 0 fails?,SELECT MAX Successes FROM table WHERE Launches > 1 AND Failures < 0
4042,What is the smallest overall for Oregon State?,SELECT MIN Overall FROM table WHERE College = oregon state
4043,How many averages are there when the economy rate is 2.26?,SELECT COUNT Average FROM table WHERE Economy Rate = 2.26
4044,What is the highest amount of plays for fluminense?,SELECT MAX Played FROM table WHERE Team = fluminense
4045,"Which Drawn is the lowest one that has a Lost of 5, and Points larger than 4?",SELECT MIN Drawn FROM table WHERE Lost = 5 AND Points > 4
4046,How many figures for wickets when the strike rate is 54.0?,SELECT COUNT Wickets FROM table WHERE Strike Rate = 54.0
4047,What is the largest ration with an ordinary value of 84 zolotnik?,SELECT MAX Ratio FROM table WHERE Ordinary value = 84 zolotnik
4048,What is the lowest number of seats from the election with 27.0% of votes?,SELECT MIN Seats FROM table WHERE Share of votes = 27.0%
4049,How many areas (km 2) have 151511 as the census 2006 population?,SELECT COUNT Area (km 2 ) FROM table WHERE Census 2006 population = 151511
4050,What is the highest number of Malaysia Cups for a player with over 0 leagues and under 0 FA cups?,SELECT MAX Malaysia Cup FROM table WHERE League > 0 AND FA Cup < 0
4051,What are the lowest entries for a front row smaller than 15 where Michael Schumacher was driving?,SELECT MIN Entries FROM table WHERE Front row starts < 15 AND Driver = michael schumacher
4052,How many elections had 1423 average voters per candidate?,SELECT COUNT Change (percentage points) FROM table WHERE Average voters per candidate = 1423
4053,What is the largest number in attendance at H venue opposing Liverpool with a result of D?,SELECT MAX Attendance FROM table WHERE Venue = h AND Result = d AND Opponents = liverpool
4054,What is the smallest grid number that had 10 laps listed with Jonathan Summerton as the driver?,SELECT MIN Grid FROM table WHERE Laps = 10 AND Driver = jonathan summerton
4055,What is the modified torque (lb/ft) when the standard hp n/a?,SELECT COUNT Modified torque (lb/ft) FROM table WHERE Standard HP = n/a
4056,What is the largest amount of goals when the points are less than 0?,SELECT MAX Goals FROM table WHERE Points < 0
4057,What is the lowest points that has 135 as 2nd (m)?,SELECT MIN Points FROM table WHERE 2nd (m) = 135
4058,How many different enrollment numbers are there for the school whose students are nicknamed Barons?,SELECT COUNT Enrollment FROM table WHERE Nickname = Barons
4059,"What is the highest games from a game with points less than 4, drawn of 1 and a lost less than 6?",SELECT MAX Games FROM table WHERE Points < 4 AND Drawn = 1 AND Lost < 6
4060,What were the lowest points of game 60?,SELECT MIN Points FROM table WHERE Game = 60
4061,"In how many different years did schools located in Logan Township, Pennsylvania join the Conference?","SELECT COUNT Joined FROM table WHERE Location = Logan Township, Pennsylvania"
4062,"What is the highest played that has a drawn less than 9, 36 as the difference, with a lost greater than 7?",SELECT MAX Played FROM table WHERE Drawn < 9 AND Difference = 36 AND Lost > 7
4063,What is the lowest round for the player whose position is guard and had a pick number smaller than 144?,SELECT MIN Round FROM table WHERE Position = guard AND Pick < 144
4064,How many different isolation numbers does the Jack Mountain peak have?,SELECT COUNT Isolation FROM table WHERE Mountain Peak = Jack Mountain
4065,What is the largest drawn that has a played less than 38?,SELECT MAX Drawn FROM table WHERE Played < 38
4066,"Which Round is the lowest one that has a Pick # larger than 10, and a Position of tight end, and an Overall smaller than 132?",SELECT MIN Round FROM table WHERE Pick # > 10 AND Position = tight end AND Overall < 132
4067,"How many different isolation numbers does the peak with an elevation of 2782.622 = 9,127feet 2782m have?","SELECT COUNT Isolation FROM table WHERE Elevation = 2782.622 = 9,127feet 2782m"
4068,What is the highest number of games with 1 loss and points less than 18?,SELECT MAX Games FROM table WHERE Lost = 1 AND Points < 18
4069,"Total smaller than 10, and a Gold larger than 1 then what is the lowest silver?",SELECT MIN Silver FROM table WHERE Total < 10 AND Gold > 1
4070,Name the total number of position for don clegg,SELECT COUNT Position FROM table WHERE Name = Don Clegg
4071,What is the highest division for years earlier than 2011?,SELECT MAX Division FROM table WHERE Year < 2011
4072,What is the earliest year associated with 0 wins and 42 points?,SELECT MIN Year FROM table WHERE Wins > 0 AND Points = 42
4073,Name the number of direction for  győr-moson-sopron,"SELECT COUNT Direction FROM table WHERE County, Oblast or State = Győr-Moson-Sopron"
4074,"Which Played is the highest one that has an Against smaller than 18, and Points smaller than 10?",SELECT MAX Played FROM table WHERE Against < 18 AND Points < 10
4075,Which First elected has a District of south carolina 2?,SELECT MIN First elected FROM table WHERE District = south carolina 2
4076,Name the number of direction for debrecen,SELECT COUNT Direction FROM table WHERE Further Cities = Debrecen
4077,"Which Against is the highest one that has a Drawn larger than 1, and a Team of corinthians, and a Played smaller than 7?",SELECT MAX Against FROM table WHERE Drawn > 1 AND Team = corinthians AND Played < 7
4078,What is the smallest number of wins for a top-25 value greater than 5 and more than 38 cuts?,SELECT MIN Wins FROM table WHERE Top-25 > 5 AND Cuts made > 38
4079,On how many locations is the Saint Joseph's College of Maine located?,SELECT COUNT Location FROM table WHERE Institution = Saint Joseph's College of Maine
4080,Who had the highest rank with a 1st (m) of 129 and less than 255.6 points?,SELECT MAX Rank FROM table WHERE 1st (m) = 129 AND Points < 255.6
4081,What is the Total that has a number of Nation and a Gold smaller than 16?,SELECT MIN Total FROM table WHERE Nation = total AND Gold < 16
4082,"On how many different dates did schools from Chestnut Hill, Massachusetts join the conference?","SELECT COUNT Joined FROM table WHERE Location = Chestnut Hill, Massachusetts"
4083,What is the highest earnings of a player with more than 19 wins?,SELECT MAX Earnings ( $ ) FROM table WHERE Wins > 19
4084,"Which Top 10 is the lowest one that has Winnings of $405,300, and an Avg Start smaller than 30?","SELECT MIN Top 10 FROM table WHERE Winnings = $405,300 AND Avg. Start < 30"
4085,"How many terms began when the term ended in January 3, 1989?","SELECT COUNT Term began FROM table WHERE Term ended = January 3, 1989"
4086,"Which Opened is the highest one that has a Themed Area of aerial park, and a Manufacturer of zamperla?",SELECT MAX Opened FROM table WHERE Themed Area = aerial park AND Manufacturer = zamperla
4087,What is the junior type with an intake of 60 and a DCSF number less than 3386 with the smallest Ofsted number?,SELECT MIN Ofsted number FROM table WHERE Intake = 60 AND Type = junior AND DCSF number < 3386
4088,How many different total points does the couple ranked at number 5 have?,SELECT COUNT Total FROM table WHERE Rank = 5
4089,"What's the highest rank of a PVG/ZSPD Code (IATA/ICAO) airport with a total cargo less than 2,543,394 metric tonnes?","SELECT MAX Rank FROM table WHERE Code (IATA/ICAO) = pvg/zspd AND Total Cargo (Metric Tonnes) < 2,543,394"
4090,What is the smallest area with 45 population?,SELECT MIN Area (km 2 ) FROM table WHERE Population (2000) = 45
4091,What was the total result for couple Ellery and Frankie?,SELECT COUNT Result FROM table WHERE Couple = Ellery and Frankie
4092,What is the highest rank of Tokyo International Airport?,SELECT MAX Rank FROM table WHERE Airport = tokyo international airport
4093,What's the least amount of floors at 921 sw sixth avenue?,SELECT MIN Floors FROM table WHERE Street address = 921 sw sixth avenue
4094,"How many basketball arenas are there that belong to a school with a capacity of 3,000?","SELECT COUNT Basketball arena FROM table WHERE Capacity = 3,000"
4095,What is the highest chart number for the song Yardbirds aka Roger the Engineer?,SELECT MAX Chart no. FROM table WHERE Title = yardbirds aka roger the engineer
4096,What is the smallest position with less than 7 points piloted by Didier Hauss?,SELECT MIN Position FROM table WHERE Points < 7 AND Pilot = didier hauss
